Market,Selection,Win,Profit
Moneyline,Home,1.0,100.0
Moneyline,Home,1.0,100.0
Total,Under,0.0,-100.0
Total,Under,0.0,-100.0
Total,Under,1.0,90.9090909090909
Total,Under,1.0,90.9090909090909
Moneyline,Home,0.0,-100.0
Total,Under,1.0,90.9090909090909
Moneyline,Away,0.0,-100.0
Total,Under,0.0,-100.0
Moneyline,Home,0.0,-100.0
Total,Under,1.0,90.9090909090909
Moneyline,Away,0.0,-100.0
Total,Under,1.0,90.9090909090909
Moneyline,Away,0.0,-100.0
Total,Under,1.0,90.9090909090909
Total,Under,1.0,90.9090909090909
Moneyline,Away,0.0,-100.0
Moneyline,Home,1.0,100.0
Moneyline,Away,1.0,100.0
Total,Under,1.0,90.9090909090909
Total,Under,1.0,90.9090909090909
Total,Under,1.0,90.9090909090909
Moneyline,Away,0.0,-100.0
Total,Under,0.0,-100.0
Total,Under,0.0,-100.0
Total,Under,1.0,90.9090909090909
Moneyline,Home,1.0,100.0
Total,Under,0.0,-100.0
Moneyline,Away,1.0,100.0
Total,Under,1.0,90.9090909090909
